Date,Hour,Rank,Topic,Volume
2019-01-03,03:06,4,Josh Hart,0
2019-01-03,03:06,5,#ThursdayMotivation,0
2019-01-03,03:06,6,Luke Walton,0
2019-01-03,03:06,7,#StrangeSafeWords,0
2019-01-03,03:06,8,#TransLooksLikeThis,0
2019-01-03,03:06,9,How's 2019,16.397
2019-01-03,03:06,10,Abdel Nader,0
2019-01-03,03:36,1,Coachella,503.903
2019-01-03,03:36,2,Paul George,17.065
2019-01-03,03:36,3,Tame Impala,18.768
2019-01-03,03:36,4,#ThursdayThoughts,28.963
2019-01-03,03:36,5,Josh Hart,0
2019-01-03,03:36,6,#StrangeSafeWords,0
2019-01-03,03:36,7,Kyle Kuzma,0
2019-01-03,03:36,8,How's 2019,17.150
2019-01-03,03:36,9,chang'e-4,28.147
2019-01-03,03:36,10,utah state,0
2019-01-03,04:01,1,Coachella,519.609
2019-01-03,04:01,2,Paul George,17.231
2019-01-03,04:01,3,#ThursdayThoughts,30.512
2019-01-03,04:01,4,Chang'e-4,29.356
2019-01-03,04:01,5,Hands-Free Law,0
2019-01-03,04:01,6,#StrangeSafeWords,0
2019-01-03,04:01,7,#IfIWereADemon,0
2019-01-03,04:01,8,How's 2019,17.769
2019-01-03,04:01,9,#WeatherAuthority,0
2019-01-03,04:01,10,Tara Grinstead,0
2019-01-03,04:36,1,Coachella,541.580
2019-01-03,04:36,2,#ThursdayThoughts,33.234
2019-01-03,04:36,3,Paul George,17.542
2019-01-03,04:36,4,we're on-air,0
2019-01-03,04:36,5,Chang'e-4,31.072
2019-01-03,04:36,6,National Grid,0
2019-01-03,04:36,7,#GetUpDC,0
2019-01-03,04:36,8,#116thCongress,0
2019-01-03,04:36,9,hands-free law,0
2019-01-03,04:36,10,#IfIWereADemon,0
2019-01-03,05:01,1,Coachella,558.858
2019-01-03,05:01,2,#ThursdayThoughts,35.194
2019-01-03,05:01,3,#MyBoardGameSkillsInclude,0
2019-01-03,05:01,4,we're on-air,0
2019-01-03,05:01,5,Chang'e-4,32.168
2019-01-03,05:01,6,#MorningJoe,0
2019-01-03,05:01,7,#116thCongress,0
2019-01-03,05:01,8,National Grid,0
2019-01-03,05:01,9,Childish Gambino,15.743
2019-01-03,05:01,10,Daybreak,0
2019-01-03,05:36,1,#ThursdayThoughts,38.190
2019-01-03,05:36,2,Coachella,583.420
2019-01-03,05:36,3,#DemsTakeTheHouse,0
2019-01-03,05:36,4,Celgene,0
2019-01-03,05:36,5,#MyBoardGameSkillsInclude,0
2019-01-03,05:36,6,#MorningJoe,0
2019-01-03,05:36,7,116th Congress,18.577
2019-01-03,05:36,8,we're on-air,0
2019-01-03,05:36,9,Chang'e-4,34.173
2019-01-03,05:36,10,House Speaker,0
2019-01-03,06:06,1,#ThursdayThoughts,40.978
2019-01-03,06:06,2,Coachella,605.093
2019-01-03,06:06,3,#DemsTakeTheHouse,0
2019-01-03,06:06,4,Celgene,0
2019-01-03,06:06,5,Nancy Pelosi,123.945
2019-01-03,06:06,6,#PersonalSpaceIn5Words,0
2019-01-03,06:06,7,#MyBoardGameSkillsInclude,0
2019-01-03,06:06,8,#MorningJoe,0
2019-01-03,06:06,9,Burna Boy,22.746
2019-01-03,06:06,10,HAPPENING TODAY,0
2019-01-03,06:31,1,#ThursdayThoughts,43.813
2019-01-03,06:31,2,#116thCongress,0
2019-01-03,06:31,3,#PersonalSpaceIn5Words,0
2019-01-03,06:31,4,Celgene,0
2019-01-03,06:31,5,Nancy Pelosi,127.767
2019-01-03,06:31,6,#MyBoardGameSkillsInclude,0
2019-01-03,06:31,7,#MorningJoe,0
2019-01-03,06:31,8,Childish Gambino,16.473
2019-01-03,06:31,9,Burna Boy,27.060
2019-01-03,06:31,10,u.s. house,0
2019-01-03,07:06,1,#ThursdayThoughts,47.692
2019-01-03,07:06,2,#116thCongress,0
2019-01-03,07:06,3,#PersonalSpaceIn5Words,0
2019-01-03,07:06,4,Nancy Pelosi,131.864
2019-01-03,07:06,5,Celgene,0
2019-01-03,07:06,6,Terry McAuliffe,0
2019-01-03,07:06,7,#MyBoardGameSkillsInclude,0
2019-01-03,07:06,8,J.R.R. Tolkien,0
2019-01-03,07:06,9,#MorningJoe,0
2019-01-03,07:06,10,I-24,79.139
2019-01-03,07:36,1,#ThursdayThoughts,51.253
2019-01-03,07:36,2,#116thCongress,0
2019-01-03,07:36,3,#PersonalSpaceIn5Words,0
2019-01-03,07:36,4,Nancy Pelosi,138.340
2019-01-03,07:36,5,Celgene,0
2019-01-03,07:36,6,J.R.R. Tolkien,0
2019-01-03,07:36,7,Terry McAuliffe,0
2019-01-03,07:36,8,#MyBoardGameSkillsInclude,0
2019-01-03,07:36,9,Caesars,0
2019-01-03,07:36,10,I-24,80.779
2019-01-03,08:01,1,#116thCongress,12.951
2019-01-03,08:01,2,#ThursdayThoughts,54.502
2019-01-03,08:01,3,Nancy Pelosi,139.651
2019-01-03,08:01,4,#PersonalSpaceIn5Words,0
2019-01-03,08:01,5,Martin O'Malley,0
2019-01-03,08:01,6,Celgene,0
2019-01-03,08:01,7,Terry McAuliffe,0
2019-01-03,08:01,8,#IWouldLikeToGiveAShout,0
2019-01-03,08:01,9,J.R.R. Tolkien,10.172
2019-01-03,08:01,10,Caesars,0
